-97, 79, -18, 4056, 42, 253, 28.91
-93, 78, -16, 4057, 42, 245, 28.89
-95, 77, -12, 4051, 47, 240, 28.90
-93, 76, -12, 4055, 38, 247, 28.92
-93, 79, -9, 4051, 37, 252, 28.91
-91, 75, -8, 4047, 37, 247, 28.90
-94, 77, -12, 4048, 33, 244, 28.91
-93, 79, -18, 4042, 32, 253, 28.92
-93, 74, -15, 4057, 26, 243, 28.91
-94, 76, -15, 4054, 33, 246, 28.91
-94, 77, -16, 4053, 36, 239, 28.91
-92, 72, -13, 4056, 27, 251, 28.89
-94, 75, -14, 4049, 39, 258, 28.87
-95, 77, -15, 4054, 33, 247, 28.89
-96, 81, -12, 4057, 33, 255, 28.90
-96, 71, -12, 4061, 29, 254, 28.89
-97, 79, -10, 4051, 36, 261, 28.89
-97, 81, -11, 4042, 34, 266, 28.90
-97, 78, -13, 4042, 32, 252, 28.92
-94, 80, -12, 4049, 38, 244, 28.92
-97, 74, -13, 4047, 33, 245, 28.91
-97, 81, -15, 4054, 28, 227, 28.90
-94, 81, -14, 4054, 42, 234, 28.91
-91, 78, -17, 4057, 42, 237, 28.92
-94, 82, -16, 4057, 36, 232, 28.92
-94, 77, -16, 4049, 39, 236, 28.91
-94, 80, -13, 4050, 35, 228, 28.91
-94, 77, -15, 4050, 38, 234, 28.89
-98, 79, -9, 4052, 52, 242, 28.89
-94, 80, -13, 4052, 47, 252, 28.90
-92, 73, -14, 4047, 36, 247, 28.88
-94, 71, -12, 4045, 31, 249, 28.89
-92, 77, -14, 4048, 31, 248, 28.87
-92, 78, -12, 4050, 35, 258, 28.89
-92, 78, -12, 4047, 42, 246, 28.90
-89, 82, -12, 4053, 34, 240, 28.90
-93, 80, -13, 4050, 28, 242, 28.92
-91, 80, -17, 4054, 25, 240, 28.92
-89, 76, -16, 4066, 42, 258, 28.91
-95, 77, -14, 4057, 31, 247, 28.90
-94, 78, -19, 4050, 35, 258, 28.90
-93, 82, -16, 4048, 41, 261, 28.89
-93, 86, -12, 4057, 34, 244, 28.91
-96, 79, -16, 4044, 28, 253, 28.91
-96, 79, -18, 4056, 30, 256, 28.90
-95, 80, -16, 4054, 20, 241, 28.91
-93, 75, -13, 4060, 33, 245, 28.90
-92, 76, -11, 4050, 36, 266, 28.91
-90, 75, -14, 4054, 38, 251, 28.91
-89, 74, -13, 4062, 41, 241, 28.91
-90, 72, -18, 4065, 35, 228, 28.92
-91, 75, -17, 4056, 35, 223, 28.90
