gx,gy,gz,ax,ay,az,tmp
-88,81,-17,-341,-7,3959,28.53
-86,82,-15,-344,-5,3952,28.52
-84,87,-16,-325,5,3961,28.50
-89,78,-17,-331,3,3953,28.54
-87,81,-16,-327,-3,3951,28.53
-87,79,-17,-329,-6,3943,28.54
-88,76,-19,-326,7,3948,28.54
-89,83,-16,-328,0,3955,28.52
-88,83,-18,-332,7,3951,28.53
-89,84,-11,-333,5,3943,28.54
-94,81,-15,-333,5,3949,28.55
-90,76,-13,-331,-3,3952,28.53
-88,76,-12,-331,4,3946,28.51
-83,75,-15,-332,1,3951,28.53
-83,74,-14,-328,1,3955,28.54
-85,79,-13,-342,2,3941,28.53
-83,77,-13,-347,10,3936,28.55
-84,77,-13,-342,8,3938,28.56
-86,81,-13,-338,5,3955,28.53
-86,83,-15,-333,-1,3951,28.53
-86,75,-15,-327,3,3946,28.52
-84,74,-21,-334,5,3947,28.50
-86,72,-19,-324,8,3950,28.52
-84,78,-17,-327,-9,3954,28.52
-85,77,-22,-336,2,3964,28.51
-85,79,-15,-335,-1,3977,28.52
-86,86,-17,-337,6,3960,28.54
-85,79,-14,-337,7,3956,28.53
-89,76,-19,-339,10,3947,28.52
-83,75,-14,-335,5,3958,28.53
-85,77,-13,-340,6,3962,28.54
-85,75,-12,-340,8,3965,28.54
-83,73,-18,-333,16,3945,28.53
-88,71,-18,-334,14,3956,28.55
-90,79,-16,-332,0,3962,28.55
-84,84,-14,-328,1,3949,28.55
-89,81,-14,-336,2,3943,28.54
-84,82,-16,-329,1,3949,28.53
-83,78,-16,-336,5,3945,28.51
-83,77,-16,-331,11,3947,28.52
-86,75,-14,-335,11,3958,28.53
-88,74,-14,-337,10,3962,28.52
-86,74,-15,-334,7,3961,28.55
-85,71,-17,-330,-10,3941,28.50
-87,78,-12,-321,7,3950,28.53
-80,83,-13,-333,-10,3948,28.52
-84,75,-15,-332,-2,3956,28.55
-89,77,-17,-337,13,3953,28.54
-89,77,-19,-334,4,3975,28.54
-88,81,-19,-337,-6,3946,28.54
-90,77,-14,-342,-1,3941,28.56
-93,77,-14,-335,-7,3932,28.56
-85,79,-16,-343,-4,3934,28.54
-90,78,-16,-338,-6,3956,28.53
-85,74,-17,-334,-11,3952,28.53
-83,71,-19,-338,0,3945,28.53
-85,78,-17,-331,1,3953,28.52
-84,76,-18,-336,11,3958,28.51
-88,78,-17,-339,2,3957,28.51
-92,75,-18,-343,-2,3952,28.54
-89,74,-22,-333,4,3953,28.54
-88,78,-17,-337,0,3976,28.55
-87,84,-16,-341,-5,3950,28.56
-86,83,-13,-344,0,3954,28.54
-86,74,-14,-344,1,3949,28.54
-85,76,-16,-349,-5,3949,28.54
-86,78,-17,-334,4,3948,28.52
-90,75,-12,-331,3,3957,28.53
-87,81,-14,-337,1,3960,28.54
-86,74,-13,-340,5,3963,28.55
-86,79,-18,-339,16,3948,28.52
-82,77,-21,-345,11,3934,28.52
-82,80,-16,-337,15,3935,28.53
-85,80,-17,-322,11,3946,28.53
-84,83,-17,-322,9,3964,28.53
-90,75,-15,-329,-2,3958,28.54
-84,76,-15,-338,2,3954,28.52
-90,73,-18,-340,10,3955,28.54
-86,72,-17,-329,-4,3951,28.54
-88,73,-19,-336,4,3952,28.54
-87,75,-20,-333,4,3939,28.55
-88,72,-18,-334,-1,3935,28.55
-93,85,-14,-342,5,3942,28.54
-88,83,-15,-343,0,3944,28.53
-89,79,-15,-341,-3,3980,28.52
-89,78,-21,-334,7,3964,28.52
-81,76,-16,-328,9,3960,28.52
-84,74,-19,-328,13,3962,28.51
-91,71,-16,-332,7,3962,28.52
-86,76,-20,-336,9,3962,28.54
-87,70,-17,-342,2,3963,28.51
-84,73,-17,-336,9,3970,28.53
-84,75,-18,-337,-2,3954,28.55
-84,76,-19,-341,0,3949,28.54
-84,77,-23,-331,-3,3954,28.53
-85,74,-20,-330,9,3958,28.51
-89,72,-19,-321,-1,3960,28.54
-90,68,-14,-324,-6,3944,28.52
-89,80,-13,-326,5,3943,28.52
-88,71,-16,-338,1,3953,28.52
-88,76,-17,-341,4,3947,28.54
-84,75,-23,-341,-2,3946,28.55
-85,79,-20,-336,2,3955,28.53
-89,78,-15,-339,0,3942,28.54
-83,88,-16,-329,4,3934,28.53
-85,141,-11,-304,6,3912,28.54
-82,258,-9,-296,7,3916,28.53
-79,401,-4,-319,13,3930,28.54
-74,420,-9,-345,1,3970,28.54
-69,392,-9,-347,3,3965,28.54
-71,350,-13,-364,7,3965,28.54
-74,297,-12,-353,1,3968,28.54
-80,266,-7,-354,5,3958,28.54
-77,270,-6,-339,5,3938,28.52
-73,326,-10,-320,-5,3907,28.54
-67,433,-6,-306,7,3890,28.54
