gx,gy,gz,ax,ay,az,tmp
-86,75,-16,-339,-5,3944,28.79
-88,74,-15,-330,-12,3965,28.78
-86,75,-13,-329,-11,3953,28.79
-86,75,-16,-321,-12,3956,28.80
-88,74,-17,-312,-3,3944,28.78
-90,76,-15,-322,-1,3933,28.81
-92,74,-16,-323,-9,3945,28.81
-89,80,-14,-330,-8,3945,28.81
-85,77,-16,-323,4,3937,28.82
-90,77,-17,-321,-3,3944,28.82
-91,75,-13,-331,-11,3959,28.81
-90,73,-15,-339,-9,3959,28.81
-89,74,-14,-340,-6,3948,28.81
-88,76,-20,-337,-8,3944,28.82
-90,84,-16,-337,-6,3954,28.84
-86,81,-11,-328,-11,3949,28.83
-82,83,-7,-334,-2,3938,28.81
-81,79,-14,-325,-6,3939,28.83
-78,79,-13,-333,-11,3936,28.83
-88,77,-18,-327,-20,3933,28.82
-85,79,-13,-325,-16,3936,28.81
-84,76,-13,-328,-4,3950,28.80
-84,75,-14,-328,-1,3942,28.82
-88,81,-14,-323,-12,3956,28.83
-84,80,-15,-329,-23,3954,28.82
-83,81,-16,-340,-19,3940,28.82
-90,79,-17,-333,-15,3945,28.81
-84,79,-19,-316,-14,3965,28.82
-82,79,-14,-324,-12,3952,28.80
-85,82,-17,-323,-7,3964,28.82
-89,78,-13,-329,3,3964,28.82
-91,79,-14,-327,-1,3947,28.84
-92,79,-15,-330,-3,3950,28.83
-92,80,-14,-331,-8,3943,28.84
-90,81,-15,-334,-6,3954,28.80
-88,79,-15,-328,-11,3939,28.83
-92,82,-15,-322,-17,3944,28.82
-87,89,-19,-317,-7,3940,28.81
-90,83,-19,-320,-5,3942,28.82
-82,77,-16,-323,-7,3944,28.82
-85,80,-15,-328,-12,3948,28.84
-82,79,-18,-324,-13,3951,28.84
-85,84,-19,-332,-16,3956,28.84
-85,82,-20,-329,-15,3943,28.83
-86,79,-14,-322,-7,3945,28.82
-82,78,-17,-333,0,3952,28.84
-86,79,-16,-326,-10,3947,28.83
-85,81,-18,-314,-10,3943,28.85
-83,71,-16,-324,-15,3940,28.84
-85,72,-10,-321,-16,3932,28.84
-80,77,-13,-333,-18,3932,28.82
-84,78,-15,-328,-23,3944,28.84
-80,80,-11,-336,-6,3945,28.87
-84,76,-13,-327,-3,3951,28.84
-86,79,-10,-319,-1,3939,28.85
-88,81,-17,-323,-6,3940,28.84
-90,76,-16,-322,-2,3951,28.83
-91,80,-16,-326,5,3957,28.82
-87,81,-14,-329,-12,3950,28.84
-85,76,-17,-334,-18,3962,28.84
-85,81,-17,-326,-20,3944,28.86
-83,81,-18,-332,-9,3947,28.84
-83,76,-13,-328,-10,3952,28.85
-87,74,-13,-328,-10,3941,28.84
-83,81,-15,-328,-8,3942,28.83
-83,77,-14,-326,-8,3944,28.83
-87,76,-17,-325,-7,3940,28.82
-84,78,-18,-332,-3,3953,28.82
-91,80,-16,-332,0,3953,28.83
-92,76,-16,-331,-7,3943,28.84
-86,75,-14,-325,-9,3960,28.83
-82,76,-17,-332,-18,3958,28.84
-85,87,-12,-343,-16,3949,28.84
-86,85,-14,-331,-8,3958,28.84
-87,85,-15,-335,-12,3951,28.84
-89,81,-13,-328,2,3954,28.83
-90,81,-16,-323,-4,3945,28.83
-87,79,-9,-340,-9,3931,28.83
-86,78,-13,-333,-2,3944,28.84
-82,80,-16,-335,-6,3941,28.85
-87,79,-10,-329,-7,3929,28.88
-83,77,-18,-336,-9,3936,28.86
-87,78,-20,-331,-12,3949,28.85
-89,85,-17,-325,-15,3934,28.85
-90,82,-17,-322,-9,3952,28.86
-88,82,-14,-324,-9,3951,28.85
-86,87,-11,-323,-14,3944,28.86
-83,77,-14,-326,-14,3942,28.86
-86,84,-15,-318,-13,3956,28.85
-87,77,-16,-335,-11,3950,28.85
-94,75,-16,-332,-14,3959,28.87
-93,77,-20,-327,-18,3940,28.87
-88,79,-18,-322,-14,3936,28.84
-86,81,-14,-328,-2,3940,28.84
-89,81,-16,-319,-3,3946,28.83
-89,80,-18,-325,-17,3954,28.84
-87,84,-18,-322,-6,3952,28.87
-90,77,-16,-325,-9,3947,28.87
-89,75,-11,-326,1,3949,28.86
-85,68,-9,-331,2,3945,28.88
-88,71,-12,-318,0,3937,28.88
-87,81,-15,-330,-9,3957,28.88
-93,81,-16,-324,-22,3949,28.87
-87,82,-12,-334,-13,3950,28.86
-87,77,-15,-342,-17,3941,28.85
-87,82,-13,-341,-9,3953,28.83
-83,81,-14,-324,-12,3939,28.83
-85,83,-10,-325,-7,3966,28.84
-88,76,-13,-325,-8,3953,28.86
-84,80,-16,-318,-9,3954,28.85
